source,target,type
R-HSA-2262752,R-HSA-1500620,h
R-HSA-3371556,R-HSA-1500620,h
R-HSA-6783310,R-HSA-1500620,h
R-HSA-9645723,R-HSA-1500620,h
R-HSA-9734009,R-HSA-1500620,h
R-HSA-109581,R-HSA-1500620,h
R-HSA-75153,R-HSA-1500620,h
R-HSA-73893,R-HSA-1500620,h
R-HSA-5696399,R-HSA-1500620,h
R-HSA-69002,R-HSA-1500620,h
R-HSA-68962,R-HSA-1500620,h
R-HSA-69190,R-HSA-1500620,h
R-HSA-2559583,R-HSA-1500620,h
R-HSA-9612973,R-HSA-1500620,h
R-HSA-1632852,R-HSA-1500620,h
R-HSA-69615,R-HSA-1500620,h
R-HSA-5423599,R-HSA-1500620,h
R-HSA-69278,R-HSA-1500620,h
R-HSA-4839726,R-HSA-1500620,h
R-HSA-3247509,R-HSA-1500620,h
R-HSA-1266738,R-HSA-1500620,h
R-HSA-9675132,R-HSA-1500620,h
R-HSA-9630747,R-HSA-1500620,h
R-HSA-9675126,R-HSA-1500620,h
R-HSA-9687139,R-HSA-1500620,h
R-HSA-69306,R-HSA-1500620,h
R-HSA-109582,R-HSA-1500620,h
R-HSA-983231,R-HSA-1500620,h
R-HSA-3371497,R-HSA-1500620,h
R-HSA-68886,R-HSA-1500620,h
R-HSA-68867,R-HSA-1500620,h
R-HSA-5619507,R-HSA-1500620,h
R-HSA-5617472,R-HSA-1500620,h
R-HSA-9710421,R-HSA-1500620,h
R-HSA-211000,R-HSA-1500620,h
R-HSA-212165,R-HSA-1500620,h
R-HSA-5334118,R-HSA-1500620,h
R-HSA-977225,R-HSA-1500620,h
R-HSA-8939211,R-HSA-1500620,h
R-HSA-69481,R-HSA-912446,h
R-HSA-73886,R-HSA-912446,h
R-HSA-3371556,R-HSA-912446,h
R-HSA-6783310,R-HSA-912446,h
R-HSA-73893,R-HSA-912446,h
R-HSA-5693532,R-HSA-912446,h
R-HSA-5693538,R-HSA-912446,h
R-HSA-73884,R-HSA-912446,h
R-HSA-5696399,R-HSA-912446,h
R-HSA-69002,R-HSA-912446,h
R-HSA-68962,R-HSA-912446,h
R-HSA-69190,R-HSA-912446,h
R-HSA-9675135,R-HSA-912446,h
R-HSA-9675136,R-HSA-912446,h
R-HSA-1640170,R-HSA-912446,h
R-HSA-69620,R-HSA-912446,h
R-HSA-69615,R-HSA-912446,h
R-HSA-69278,R-HSA-912446,h
R-HSA-8953897,R-HSA-912446,h
R-HSA-2262752,R-HSA-912446,h
R-HSA-2559583,R-HSA-912446,h
R-HSA-73894,R-HSA-912446,h
R-HSA-69306,R-HSA-912446,h
R-HSA-1266738,R-HSA-912446,h
R-HSA-9675126,R-HSA-912446,h
R-HSA-9687139,R-HSA-912446,h
R-HSA-74160,R-HSA-912446,h
R-HSA-212436,R-HSA-912446,h
R-HSA-109582,R-HSA-912446,h
R-HSA-983231,R-HSA-912446,h
R-HSA-9612973,R-HSA-912446,h
R-HSA-1632852,R-HSA-912446,h
R-HSA-5693606,R-HSA-912446,h
R-HSA-68886,R-HSA-912446,h
R-HSA-4839726,R-HSA-912446,h
R-HSA-3247509,R-HSA-912446,h
R-HSA-73929,R-HSA-912446,h
R-HSA-68867,R-HSA-912446,h
R-HSA-5619507,R-HSA-912446,h
R-HSA-5617472,R-HSA-912446,h
R-HSA-9645723,R-HSA-912446,h
R-HSA-9710421,R-HSA-912446,h
R-HSA-211000,R-HSA-912446,h
R-HSA-212165,R-HSA-912446,h
R-HSA-5334118,R-HSA-912446,h
R-HSA-977225,R-HSA-912446,h
R-HSA-8939211,R-HSA-912446,h
R-HSA-5688426,R-HSA-912446,h
